scaling,pca_components,k,metric,weights,mean_macro_f1,std_macro_f1,fold1_macro_f1,fold2_macro_f1,fold3_macro_f1,fold4_macro_f1,fold5_macro_f1
minmax,30,1,cosine,uniform,0.8023712537087757,0.0068360113698665076,0.797227997305088,0.8064134181024922,0.7921908260567125,0.8114460802036397,0.8045779468759464
minmax,30,1,cosine,distance,0.8023712537087757,0.0068360113698665076,0.797227997305088,0.8064134181024922,0.7921908260567125,0.8114460802036397,0.8045779468759464
minmax,50,1,cosine,uniform,0.8020446835647623,0.0063359114235479385,0.7956823378561115,0.8041170339750947,0.8081018446562908,0.8088322854116168,0.7934899159246983
minmax,50,1,cosine,distance,0.8020446835647623,0.0063359114235479385,0.7956823378561115,0.8041170339750947,0.8081018446562908,0.8088322854116168,0.7934899159246983
minmax,50,1,euclidean,distance,0.8020236808806225,0.00745381553516595,0.8078388887071073,0.8077349224470074,0.8019536716314363,0.8048316190836934,0.787759302533868
minmax,50,1,euclidean,uniform,0.8020236808806225,0.00745381553516595,0.8078388887071073,0.8077349224470074,0.8019536716314363,0.8048316190836934,0.787759302533868
standard,30,5,euclidean,uniform,0.8015440295264913,0.008973747061915342,0.7941213075979958,0.8102369911056563,0.7901226145516652,0.8133279850807436,0.7999112492963958
standard,50,1,euclidean,uniform,0.8006069739307142,0.007933576863017638,0.7958461627552198,0.8086945107378185,0.796107395839692,0.8113349148428799,0.7910518854779609
standard,50,1,euclidean,distance,0.8006069739307142,0.007933576863017638,0.7958461627552198,0.8086945107378185,0.796107395839692,0.8113349148428799,0.7910518854779609
minmax,30,1,manhattan,distance,0.7992460062206876,0.00688679478609375,0.8022507990713578,0.8095282328559466,0.792977427701118,0.8011433749589779,0.7903301965160381
minmax,30,1,manhattan,uniform,0.7992460062206876,0.00688679478609375,0.8022507990713578,0.8095282328559466,0.792977427701118,0.8011433749589779,0.7903301965160381
minmax,30,1,euclidean,uniform,0.7989336423685462,0.00859328806084652,0.800055274714065,0.8102849636603466,0.7879580076159778,0.8058507152510093,0.7905192506013329
minmax,30,1,euclidean,distance,0.7989336423685462,0.00859328806084652,0.800055274714065,0.8102849636603466,0.7879580076159778,0.8058507152510093,0.7905192506013329
standard,30,1,cosine,uniform,0.7966386323294146,0.00785892147825599,0.7976958210094903,0.8009485089727617,0.7977785757816312,0.8049317832309726,0.7818384726522167
standard,30,1,cosine,distance,0.7966386323294146,0.00785892147825599,0.7976958210094903,0.8009485089727617,0.7977785757816312,0.8049317832309726,0.7818384726522167
standard,30,1,manhattan,distance,0.7907223992696977,0.006026261901772029,0.7975712109541201,0.7957979159473274,0.7883224894871503,0.7913358401688523,0.7805845397910383
standard,30,1,manhattan,uniform,0.7907223992696977,0.006026261901772029,0.7975712109541201,0.7957979159473274,0.7883224894871503,0.7913358401688523,0.7805845397910383
standard,30,1,euclidean,distance,0.7867164783858085,0.004476277083739099,0.7852595607683324,0.7932851781410428,0.7869639779090879,0.7885364292733412,0.7795372458372378
standard,30,1,euclidean,uniform,0.7867164783858085,0.004476277083739099,0.7852595607683324,0.7932851781410428,0.7869639779090879,0.7885364292733412,0.7795372458372378
